Sample ID,"Additional
ID name",GBS ID†,"Endosperm
mutation‡",Antheraxanthin,β-Carotene,β-Cryptoxanthin,Lutein,Violaxanthin,Zeaxanthin,Zeinoxanthin,"Other
carotenes",α-Xanthophylls,β-Xanthophylls,"Total
xanthophylls","Total
carotenes","Total
carotenoids","β-Carotene/
β-cryptoxanthin","β-Carotene/
(β-cryptoxanthin + zeaxanthin)","β-Cryptoxanthin/
zeaxanthin","Zeinoxanthin/
lutein","β-Xanthophylls/
α-xanthophylls","Total carotenes/
total xanthophylls",
2,,SAMN09705089,su1,-0.035,-1.329,-1.175,1.573,-0.291,2.049,-0.224,0.798,1.736,1.822,2.470,0.990,2.559,-0.120,-2.791,-2.695,0.413,0.078,0.294,
257A9,,SAMN09705092,su1,-0.240,-0.456,-1.167,0.376,-0.584,1.826,-1.589,0.751,0.507,1.587,1.962,1.084,2.120,0.699,-1.654,-2.442,0.376,0.993,0.417,
34f,,SAMN09705095,sh2,0.688,-0.095,0.784,2.515,0.232,3.020,1.933,2.124,2.996,2.619,3.434,2.398,3.595,-0.863,-2.563,-1.534,0.768,-0.255,0.404,
83610b,,SAMN09705105,su1,0.351,-1.062,-1.403,0.279,-0.044,2.124,-1.873,0.820,0.375,1.972,2.229,1.015,2.334,0.286,-2.657,-2.983,0.334,1.549,0.331,
A10579,,SAMN09705110,su1,0.158,-1.024,-0.522,1.856,-0.131,2.369,0.616,1.361,2.132,2.093,2.774,1.519,2.910,-0.468,-2.850,-2.339,0.555,0.041,0.376,
A632_susu,,SAMN09705115,su1,-0.804,-0.786,-1.491,-0.119,-0.005,1.930,-1.770,0.853,0.059,1.703,1.976,1.088,2.142,0.720,-2.130,-2.947,0.444,1.699,0.425,
A684su,PI567792,250032448,su1,0.348,-0.425,-0.448,1.587,0.034,2.498,-0.765,1.029,1.681,2.203,2.672,1.306,2.785,-0.016,-2.391,-2.396,0.317,0.663,0.343,
A685su,PI567793,SAMN09705119,su1,0.325,-1.079,-1.214,1.893,-0.271,2.271,-0.196,0.937,2.026,2.021,2.688,1.099,2.778,0.102,-2.825,-2.940,0.368,0.087,0.300,
AS11,,SAMN09705136,su1,-0.002,-1.225,-1.550,0.956,-0.101,2.036,-0.364,0.883,1.183,1.838,2.296,1.043,2.403,0.310,-2.691,-3.049,0.511,0.604,0.332,
B5765,,SAMN09705143,su1,0.148,-1.614,-1.301,1.405,0.050,1.810,0.670,0.865,1.829,1.771,2.478,0.986,2.564,-0.244,-2.837,-2.573,0.713,-0.032,0.298,
B5870,,SAMN09705144,su1,-0.007,-0.484,-0.570,2.059,0.086,2.311,0.708,1.356,2.289,2.072,2.847,1.591,2.990,0.042,-2.301,-2.305,0.499,-0.185,0.378,
C12_1,Ames22015,250031376,su1,-0.003,-0.727,-0.550,1.546,-0.005,1.941,0.537,1.201,1.870,1.861,2.583,1.410,2.725,-0.146,-2.158,-1.956,0.613,-0.103,0.383,
