rlog_ids,sample_name_metadata,plot_name,accession_name,accession_name_toco,accession_name_carot,accession_name_ion,plate_name,plate_number,well,tissue_harvest_date,nucleic_acid_extraction_date
SC_RNA_01_A01_19A0205_P14,19A0205,19A0205,P14,P14,P14,P14,SC_RNA_01,1,A01,9/9/19,6/18/20
SC_RNA_01_A03_19A0301_IL793a,19A0301,19A0301,IL793a,IL793a,IL793a,IL793a,SC_RNA_01,1,A03,9/10/19,6/29/20
SC_RNA_01_A04_19A0039_Wh98063,19A0039,19A0039,Wh98063,Wh98063,Wh98063,Wh98063,SC_RNA_01,1,A04,8/24/19,6/28/20
SC_RNA_01_A05_19A0265_CHECK3,19A0265,19A0265,CHECK3,NA,NA,NA,SC_RNA_01,1,A05,9/3/19,6/24/20
SC_RNA_01_A06_19A0008_VIA5492,19A0008,19A0008,VIA5492,VIA5492,VIA5492,VIA5492,SC_RNA_01,1,A06,8/22/19,6/18/20
SC_RNA_01_A07_19A0050_Wh96011,19A0050,19A0050,Wh96011,Wh96011,Wh96011,Wh96011,SC_RNA_01,1,A07,9/2/19,6/21/20
SC_RNA_01_A08_19A0261_Wuh09191i,19A0261,19A0261,Wuh09191i,Wuh09191i,Wuh09191i,Wuh09191i,SC_RNA_01,1,A08,9/9/19,6/30/20
SC_RNA_01_A09_19A0194_IL661a,19A0194,19A0194,IL661a,IL661a,IL661a,IL661a,SC_RNA_01,1,A09,9/6/19,6/24/20
SC_RNA_01_A10_19A0400_IL86e,19A0400,19A0400,IL86e,IL86e,IL86e,IL86e,SC_RNA_01,1,A10,9/22/19,6/28/20
SC_RNA_01_A11_19A0041_LUTHER_HILL,19A0041,19A0041,LUTHER_HILL,Luther_Hill,NA,Luther_Hill,SC_RNA_01,1,A11,8/23/19,3/15/20
SC_RNA_01_A12_19A0225_MDM-12,19A0225,19A0225,MDM_12,MDM_12,NA,MDM_12,SC_RNA_01,1,A12,9/18/19,6/21/20
SC_RNA_01_B01_19A0303_fill_c2,19A0303,19A0303,fill_c2,NA,NA,NA,SC_RNA_01,1,B01,9/18/19,6/21/20
SC_RNA_01_B02_19A0410_AS11,19A0410,19A0410,AS11,AS11,AS11,AS11,SC_RNA_01,1,B02,9/6/19,3/15/20
